身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
小儿五软	胎禀怯弱肾阳虚衰五软 后天失调脾气虚馁五软
头倾	脾气亏耗头倾 髓亏头倾
舌苔腐垢	宿食积滞舌腐 胃热痰浊上逆舌腐
手足汗出	脾胃阴虚手足汗出 脾胃湿热手足汗出 脾胃气虚手足汗出
小儿性早熟	肝经湿热性早熟 相火偏旺性早熟 脾虚痰湿性早熟 肝郁气滞性早熟
小儿腹痛	虚寒腹痛 食积腹痛 血褒腹痛 实热腹痛 寒凝腹痛 气滞腹痛
肢体瘘废	湿热侵淫痿废 肺热津伤瘘废 肝肾亏拫痿废 脾胃气虚瘦废 瘀血阻滞凄废
口颊溃烂	余毒上攻口颊攒烂 风热痰盛口颊澳烂 风寒肾虚口類浪烂 实火上炎口颊溃烂 虚火上炎口颊溃烂
足热	阴虚足热 热毒蕴结足热 风邪犯表足热
赤白带	湿热赤白带 虚热赤白带 虚寒赤白带 肝郁湿热赤白带
妊娠音哑	痰热妊娠音哑 肾阴虚妊娠音哑 风寒妊娠音哑 肺阴虚妊娠音哑
小儿抽动	脾虚肝亢小儿抽动 阴虚风动小儿抽动 肝风痰热小儿抽动
心烦	阴虚火旺暴盲 肝阴虚阳亢头晕 脾胃积热流涎 热灼肾阴舌苔灰黑 阴虚火旺皮肤褐斑 肾阴虚证口咸 相火偏旺性早熟 心脾积热啮齿 阴虚阳亢妊娠眩晕 阴虚火旺汗血 湿热妊娠尿痛 湿热赤白带 脾经伏热舔舌 胃热炽盛消瘦 胃热干呕 肝肾阴虚单腹胀大 痰热郁结脏躁 阴虚火旺心中懊侬 气阴两虚舌剥 肾阴虚喷嚏 肝郁化火闭经溢乳 心肾阴虚受风舌痒 毒热炽盛脱屑 心火亢盛舌衄 阴虚内热鱼胞 血热风煉脱屑 风邪外袭红斑 湿热下注阴痒 心肝火旺经前不寐 肺阴虚消瘦 肾阴亏损云翳 肝肾阴虚白睛红赤 肺肾阴虚咽肿 心火炽盛胬肉 血热风盛角弓反张 阴虚五心烦热 邪入少阳寒热往来 心血不足盗汗 肝阳化风半身不遂 肾虚腰痛 肝肾阴虚 胃热妊娠呕吐 肝肾阴虚阴痛 胃热炽盛舌苔黄 邪郁少阳恶寒 肝肾阴虚月经过多 肺燥津亏口渴 湿热蕴蒸云雾移睛 心血虚心悸 肝热阴虚腋汗 气滞妊娠小便不通 虚火上炎口颊溃烂 心脾积热口疮 血热染毒阴部水痕 肾阴虚损鼻衄 阳明病胃肠燥热心烦 肝肾阴亏崩中 风火燥结肛门生痔 肝肾阴虚便血 阳盛实热舌红绛 暑湿咳嗽 肺胃津亏瘫痪 虚热妊娠尿痛 邪入少阳胁痛 肝郁血虚 署湿籩结肩背痈肿 湿热内蕴指（趾）缝湿烂 肝火犯肺鼻衄 心火亢盛妊娠尿血 湿热腹泻 阴虚火旺吐血 肝胆火热血灌瞳神 阴虚火旺口疮 心火炽盛心烦 阴虚足热 阴血亏虚多汗 肝肾阴虚四肢瘦削 阴虚血燥面部脱屑 虫积反胃 肝热产后乳汁自漏 胃肠湿热蛔虫扰动症 或食脾胃损伤疳积 肝肾阴虚视物变形 相火偏旺滑胎 热痞 血热风燥红斑 肝肾阴虚小便失禁 阴虚风动小儿抽动 邪入少阳口苦 阴虚津亏木舌 心肾不交梦游 肝阳上扰偏头痛 肝气上逆咽中异物感 暑耗肺胄气阴疲乏 血虚肠煉肛裂 血热白庀 阴虚火旺心下悸 疲火扰心善喜 心血不足烦躁 脾阴虚口唇红肿 湿热壅滞舌苔黄 血热皮肤瘙痒 阴虚津亏产后小便淋痛 血热胎漏 肝郁阴虚经前乳胀 肝肾阴虚瞳神缩小 气虚神伤近视 肾阴虚火旺牙龈肿痛 邪伏阴分五心烦热 肺肾阴虚鼻塞 热伤气阴少气 肝郁化火面痛 火盛白内障 胃火炽盛鼻衄 热入营血发癍 血虚不荣红疹 肝火上炎头热 肝肾阴虚经断复行 胆热痰扰善疑 湿热郁蒸心中懊侬 肝气犯胃吞酸 肝肾阴虚毛发脱落 痰火扰神痫 湿热蕴蒸头重 肾阴不足头热 心火脾湿夭疱疮 痰气交阻乳房肿块 阴虚火旺发癍 肝郁气滞脏躁 阴虚血热经期延长 肝肾阴虚夜盲 湿热蕴蒸口渴 痰热藴脾口腻 火郁五心烦热 肝火上逆耳衄 阴虚内热舌红绛 肝阳化风四肢强直 水火不济善喜 血虚月经过少 阴虚火旺经行口糜 阴虚火旺妊娠心烦 肝阳上亢经行头痛 湿热蛮蒸体臭 虚火上炎重舌 气滞胎动不安 毒热炽盛杨梅疮 肝郁气滞须发早白 阴虚火旺妄听妄视 肾火偏亢脐内出血 气郁阻络手足紫绀 热毒灼营带状疱疹 血热扰神心烦 气阴两虚瞳神散大 心阴虚火旺心烦 肝肾亏虚四肢强直 肾经虚火胬肉 阴虚内热小便黄赤 心肾不交经断前后诸症 阴虚内热尿道溢脓 阴血亏虚口噤 阴虚阳充脏燥 阴虚阳亢生风四肢抽搐 阴虚火旺咽喉白腐 热极肢厥手足厥冷 痰火扰心善愤 阴虚火旺咳血 暑湿热郁心烦 心火上炎口苦 阴虚产后多汗 脾虚肝乘善怒 肺热熏灼舌萎 肝肾阴虚交接出血 肝肾阴虚瘰疬 肝肾阴虚腹露青筋 血热妄行紫斑 阴虚血热带环后阴道异常出血 气滞妊娠肿胀 肾阴虚崩漏 营血虚热須发早白 血热风燥头面瘙痒 肾虚肝旺小儿多动 阴虚血热不孕 阴虚血亏潮热 肝肾阴虚头昏 肝气郁滞脑鸣 气滞耻嵌耳聋 阴虚血热漏下 阴虚血搡反胃 肝胆湿热胁痛 心火亢盛产后小便淋痛 肝气犯胃经行呕吐 心火炽盛善喜 肺热津伤瘘废 阴虚津亏噎膈 燥火内结肛裂 阴虚火旺经前不寐 血热生风脱发 肾阴虚尿频 阴虚火旺红斑 肾精不足失语 肾虚腰脊痛 虚火灼齿牙痛 热毒蕴结膝肿痛 湿热阻瘠关节疼痛 湿热阴挺 肝郁化火经行发热 肝胆郁热口苦 肝经郁热妊娠尿血 肝肾阴虚经断前后诸症 脏腑实热舌痛 客气上逆痞 肾阴虚皮肤黑斑 阴虚火旺舌痛 虚热便血 肝肾阴虚阴部水疱 心肝阴虚颈粗 肝胆郁热咽干 疲热扰心不寐 阴虚内热面色红 肾阴亏虚尿频 邪入营分发热 表寒里热气喘 阴虚肝旺晕厥 痰火扰心妄听妄视 阴虚火旺视瞻昏渺 肾虚风湿阴茎溃烂 气阴两虚天疱疮 肝郁湿热赤白带 肝肾阴虚善怒 湿热内阻小便不利 血虚阴亏手足心热 心阳虚阴盛心烦 肾阴虚耳聋 寒热错杂哮鸣 阴虚动风啮齿 肝火偏亢月经过多 瘀血内结烦躁 肺胃热盛妊娠心腹胀满 疫毒内盛咽喉白腐 肝郁血虚手舞足蹈 阴血亏虚目干涩 肝肾阴虚面诟 肝火犯胃吐血 风热郁结肛门瘙痒 肾阴欲竭舌光 胃热阴虚齿衄 郁火上冲睑弦赤烂 心火炽盛小便黄赤 肾阴虚胫瘘 肝郁化火经断复行 气滞血瘀皮肤肥厚
口唇红肿	胃火口唇红肿 痰火口唇红肿 脾阴虚口唇红肿
消瘦	肾精亏虚下肢生疽:多发于儿童及靑年 诸虫积滞异嗜 脾肾两虚短气 阴虚火旺吐血 脾胃虚寒流瘅 阴虚津亏噎膈 肺气虚尿频 阴血亏虚多汗 胃热炽盛消瘦 肝肾阴虚朱砂掌 肝肾阴虚单腹胀大 气血两虚大便变形 脾胃虚寒胃痛 睥虚湿困疳翳 心脾气虚小儿多动 营虚半身麻木 脾肾拓虚毛发脱落 下焦虚寒大便脓血 疳积喜食异物 血虚阴亏便秘 气血虚弱消瘦 虚热便血 脾胃气虚消瘦 肺阴虚消瘦 阴虚风内动手颤 肝肾阴虚慢惊 气血亏虚缺盆溃烂 瘀血内阻噎膈 胃热阴伤消渴 心血不足盗汗 阴虚火旺血精 心虚禀弱啼哭 痰火郁结结节 班血阻络面具脸 血虚阴亏手足心热 脾肾两虚尿浊 肝肾阴虚月经过多 气血两虚胎位不正 脾虚失调囟门不合 阴虚津亏舌裂 湿热五色带 嵌血内阻舌紫 胃火炽盛善食易饥 肝火充盛消瘦 肝肾阴虚面诟 虚寒五色带 虫积白斑 肾阴欲竭舌光 肝肾虚损膝肿痛 营血虚热須发早白 气血两虚毛发变异 血虚生风肛门瘙痒 肝肾阴虚便血 痰气互结噎膈 气血两虚流产后闭经 虫积消瘦 肝经虚寒流泪 伤食积滞疳翳 阴虚血亏潮热 气血损伤烧虫扰动症 阴虚火旺经行发热 脾胃虚寒异嗜
口甜	脾胃湿热口甜 脾胃气阴两虚口甜 湿邪犯肺咳痰 脾胃积热口甜
肠鸣	肝脾不和肠鸣 虚寒腹泻 湿热腹泻 中焦寒湿肠鸣 痰饮中阻舌答灰黑 寒凝腹痛 寒凝积冷挤腹痛 肾虚腹泻 肠胃湿热肠鸣 脾肾阳虚肠鸣 宿食积滞舌腐 水饮内停大便溏 痰湿中阻扬鸣 风寒腹泻 睥肾气虚骨痛 中气不足肠鸣
尿道溢胺	肝气郁结尿道溢脓 湿热疫毒尿道溢胺 睥肾两虚尿道溢脓 阴虚内热尿道溢脓
头摇	风阳上扰头摇 阴虚动风头摇
产后发痉	风寒产后发痉 血虚产后发痉 邪毒炽盛产后发疫
脱肛	气虚里急后重 中气下陷大便溏 脾虚气陷遗尿 肾阳虚脱肛 脾气下陷脱肛 湿热蘊结脱肛 气血损伤烧虫扰动症 中气不足肠鸣 脾气下陷上胞下垂 肺气虚便难
五心烦热	阴虚火旺暴盲 阴虚火旺皮肤褐斑 肾阴虚证口咸 相火偏旺性早熟 阴虚火旺吐血 火郁五心烦热 肝肾阴虚四肢瘦削 脾经伏热舔舌 阴虚内热舌红绛 肾阴虚尿频 阴虚火旺红斑 肝肾阴虚视物变形 阴虚火旺心中懊侬 水火不济善喜 气阴两虚舌剥 肾虚腰脊痛 血虚月经过少 阴虚火旺经行口糜 虚火灼齿牙痛 肾阴虚喷嚏 阴虚火旺妊娠心烦 相火偏旺滑胎 虚火上炎重舌 肝肾阴虚小便失禁 阴虚风动小儿抽动 阴虚火旺妄听妄视 肝肾阴虚经断前后诸症 肾火偏亢脐内出血 心肾不交梦游 肾阴虚皮肤黑斑 阴虚火旺舌痛 虚热便血 肺阴虚消瘦 心肝阴虚颈粗 阴虚内热面色红 阴虚火旺心下悸 肾阴亏虚尿频 肾阴亏损云翳 肾经虚火胬肉 肝肾阴虚白睛红赤 阴虚内热小便黄赤 阴虚内热尿道溢脓 肺肾阴虚咽肿 阴虚肝旺晕厥 阴虚阳亢生风四肢抽搐 阴虚火旺咽喉白腐 阴虚五心烦热 阴虚津亏产后小便淋痛 阴虚火旺视瞻昏渺 肾虚风湿阴茎溃烂 心血不足盗汗 气阴两虚天疱疮 肝肾阴虚 肝肾阴虚瞳神缩小 肝肾阴虚善怒 肝肾阴虚阴痛 肾阴虚火旺牙龈肿痛 邪伏阴分五心烦热 肺肾阴虚鼻塞 肝肾阴虚月经过多 阴虚产后多汗 肾阴虚耳聋 阴虚动风啮齿 肝肾阴虚交接出血 肝热阴虚腋汗 阴血亏虚目干涩 肾阴虚损鼻衄 肝肾阴虚面诟 血虚五心烦热 肾阴虚崩漏 肾阴欲竭舌光 胃热阴虚齿衄 肾虚肝旺小儿多动 肝肾阴虚便血 肾阴不足头热 肾阴虚胫瘘 肝肾阴虚头昏 痰气交阻乳房肿块
胎水肿满	脾肾阳虚胎水肿满 脾气亏虚胎水肿满
小儿脐突	胎热小儿脐突 眙禀亏虚小儿脐突
目珠自胀	外感风热目珠自胀 气血亏虚目珠自胀 肝郁气滞目珠自胀
心胸汗出	心脾气虚心胸汗出 心肾阴虚心胸汗出
恶露不断	血热恶露不断 阴虚悉露不断 气虚恶露不断 血瘀恶露不断
头汗	湿热熏蒸头汗 阳气不足头汗 湿热蕴蒸头重 热实结胸心中懊侬
手指挛急	血燥筋伤手指挛急 血不养筋手指挛急 寒滞经脉濡手指挛急
皮肤疣赘	风热蕴肤疣赘 风热疫毒疣赘 血虚风燥疣赘 气血嵌滞疣赘
关节疼痛	风胜行痹关节疼痛 脾肾阳虚肌肤疼痛 气血瘀滞结节 风寒阻络猫眼疮 痰瘀辨阻关节变形 寒湿阻络骨痛 毒热炽盛蝶形红斑 气血两虚关节疼痛 湿热下注紫斑 血疲经行身痛 湿胜着痹关节疼痛 寒湿凝滞四肢肿胀 寒胜痛痹关节疼痛 睥肾气虚骨痛 气血亏虚四肤疼痛 湿热阻瘠关节疼痛 热邪阻络四肢疼痛 寒滞肝脉阴痛 风湿客表恶寒发热 湿热阻痹骨痛 风湿热痹阻蝶形红斑 瘀血阻络关节疼痛 肝肾亏虚关节疼痛 风寒湿阻臂痛 寒湿阻络白庀 风湿热郁发癍 风湿痹阻足痛 风寒湿阻足跟痛 痰湿阻滞麻木
背热	肺火背热 阴虚背热 署湿籩结肩背痈肿
壮热	疫毒侵袭肺胃丹痧 毒热炽盛肌肤疼痛 火毒凝滞腋窝红肿 热盛伤津舌干 热毒攻心神昏 暑湿流注鼠蹊肿痛 暑热惊风 热炽营血壮热 热毒攻心谵语 热深厥深身热肢寒 邪毒内陷心肝 肺胃火热颈间生疮 气分热盛烦躁 热毒壅肺鼻肿 湿热蕴结壮热 肺胃明伤余热丹痧 热入营血暴盲 肺热炽盛壮热 热陷心包舌卷 热毒炽盛脓疱 肠道热结壮热 热结肠道但热不寒 阳明捬实烦躁 热炽阳明但热不寒 热极或湿热生风四肢抽搐 肺胃热盛乳娥 肺胃蕴热小儿音哑 阴虚火毒颈后生痈 热入心包舌强 阳明经壮热 感受疫毒大便脓血 胎毒发热 毒热炽盛丹毒 热盛动风啮齿 邪毒炽盛闭肺内陷《陷逆证》 风热相搏眼睑丹毒 疟疾寒战 邪入营分发热 疼毒外达肺部苔热《见形期〉 毒热内盛脐疮 外邪客宵呕吐 里热壅盛口噤 疫毒供灼气营丹痧 外感暑邪发热 毒热炽盛水痘 大肠湿热壮热
但热不寒	热入营血但热不寒 邪热壅肺但热不寒 热结肠道但热不寒 热炽阳明但热不寒 湿热郁蒸但热不寒 暑热伤气但热不寒
肛门疼痛	虚寒胚门疼痛 实热肛门疼痛 血挤肛门疼痛 湿热肛门疼痛 虚热肛门疼痛 气滞胚门疼痛
舌苔灰黑	脾阳虚衰舌苔灰黑 热灼肾阴舌苔灰黑 痰饮中阻舌答灰黑 湿热内蕴舌苔灰黑
大便变形	气血两虚大便变形 湿热蕴结大便变形
小儿蛔虫症	蟈虫扰动穿肠入胆症 胃肠湿热蛔虫扰动症 脾胃不调鑕虫扰动症 蝈虫扰动梗阻肠道症
手舞足蹈	气血亏虚手舞足蹈 肾精亏虚手舞足蹈 肝郁血虚手舞足蹈 肝肾阴虚手舞足蹈 妇女妊娠手舞足蹈 外感风邪手舞足蹈
面色蒌黄	脾气虚少气 气血虚衰肛门流脓 脾胃气虚眼皮跳 脾阳虚衰舌苔灰黑 脾虚血弱紫癜 脾胃虚弱月经过少 心脾气血两虚头晕 气血两虚不孕 脾胃阳虚慢惊 血虚胎动不安 脾气虚食后困顿 中气虚损腹中痞块 脾虚气弱小儿青盲 脾气亏耗头倾 脾肾两虚尿浊 气血虚弱闭经 脾虚失调囟门不合 肝肾阴虚单腹胀大 脾虚湿盛湿疮 醇气虚面色蒌黄 气血两虚动风四肢麻木 阳虚水泛身重 湿热下注胫痠 脾阳不振小便不利 脾不统血发癍 气虚痰结发癫 脾虚湿蕴鼾眠 疳积喜食异物 脾胃虚弱耳聋 痰食凝结腹中痞块 心脾不足吐血 心脾两虚善疑 脾经湿热目生椒粟 气血两虚流产后闭经 气血两虚产后浮肿 气血两虚毛发脱落 气血不足脐疮 脾虚腹泻 时发时止大便脓血 气血亏虚目珠自胀 脾虚湿困面色蒌黄 阳虚自汗
乳汁不行	血嵌乳汁不行 肝郁气滞乳汁不行 气血两虚乳汁不行
肛漏	虚寒肛漏 虚热肛漏 实热肛漏
舌剥	气阴两虚舌剥 胃阴虚舌剥
短气	痰饮中阻短气 脾宵气虚口疮 气阴两虚反胃 肺脾气虚鼻干 肾气不足精液清冷 肝肾虚腰膝无力 脾肾两虚短气 肾虚痰阻气喘 气阴两虚胸痛 气血两虚便血 肺寒咳痰 精血亏虚脱形 心气亏虚胸痛 心血瘀阻胸闷 气虚自汗 气阴两虚舌剥 痰浊阻滞胸痛 气滞血瘀短气 风湿外袭恶风 痰饮中阻舌答灰黑 脾不摄血紫斑 心脾两虚短气 痰湿肩痛 痰食凝结腹中痞块 心血褒阻心悸 肺虚感寒鼻痠 心肝阴虚颈粗 胸供肩不举 脾胃气虚口淡 胃阴虚恶心
口唇湿烂	睥胃湿热口唇湿烂 脾胃菹湿口唇湿烂 气滞血挤口唇湿烂 血虚风燥口唇湿烂
缺盆溃烂	湿热蕴结缺盆溃烂 气血亏虚缺盆溃烂
皮肤水疱	脾虚湿泛水疱 湿热蘊结水疱 虫毒菹肤水疱 风湿蕴肤水疱 寒湿凝滞水疱
蝶形红斑	阴虚内热蝶形红斑 脾肾不足煤形红斑 气滞血疲蝶形红斑 风湿热痹阻蝶形红斑 毒热炽盛蝶形红斑
肩不举	胸供肩不举 肩凝肩不举 痹痛肩不举 损伤肩不举
经行呕吐	脾胃虚弱经行呕吐 肝气犯胃经行呕吐 痰饮伏胃经行呕吐
产后眩晕	血瘀产后眩晕 血虚产后眩晕
小儿木舌	心脾壅热木舌 阴虚津亏木舌
鼻痒	风热犯肺鼻痒 肺肾阴虚鼻塞 肺气虚寒喷嚏 热毒侵肺鼻痒 脾经湿热鼻痒 肺经燥热鼻痒 风热犯肺喷嚏 肾阴虚喷嚏 肺气虚鼻痒
咳血	外感咳血 瘀阻肺络咳血 脾肺气虚咳血 肺热壅盛咳血 阴虚肺燥咳痰 阴虚火旺咳血
阴疮	外伤邪毒阴疮 肝肾阴虚阴疮 脾胃积热阴疮 肝胆湿热阴疮
肛门流脓	气血虚衰肛门流脓 湿热遂阻肛门流脓
痫	风痰闭神痫 痰瘀互结痫 肝肾阴虚小便失禁 贤虚供亏痫 脾虚肝旺妊娠疫厥 疲蒙清窍痴呆 风邪袭表恶风 痰火扰神痫 血虚神闭痫
红丝赤缕	瘀血阻络红丝赤缕 阴虚内热红丝赤缕
云雾移睛	肝肾亏损云雾移睛 气血两虚云雾移睛 湿热蕴蒸云雾移睛 痰浊上蒙云雾移睛
目札	肝气乘脾目札 伤食积滞疳翳 肝经风热目札 脾伤疳积目札 肝虚血少目札
口腻	湿热中阻口腻 寒湿困脾畏寒 寒湿困脾口腻 痰湿阴吹 痰热藴脾口腻 脾虚湿阻盗汗
项强	风寒五硬 热实结胸心中懊侬 邪热伤津项强 班血阻络面具脸 热盛动风神昏 热动肝风面色青 肝经风热小儿青盲 风寒束表项强 肝胃积热颈间生疮 暑热惊风 太阳伤寒头冷 邪毒内陷心肝 肺胃火热颈间生疮 外伤风毒口噤 风湿犯表项强 风寒束表舌苔白 金疮风毒项强 热极或湿热生风四肢抽搐 风湿犯表颈项痛 太阳伤寒腰脊痛 痰热动风四肢强直 风邪入侵四肤强直 里热壅盛口噤 邪毒炽盛产后发疫 外感暑邪发热 一、湿热初侵，邪犯肺胃
舌干	水饮内停口渴 阴虚内热大便脓血 气明欲脱绝汗 脾胃气阴两虚口甜 阴虚津亏舌干 风火燥结肛门生痔 热盛伤津舌干 津气亏虚白痏 酒毒内茧舌紫 气阴两虚胸痛 阳明腑实舌生芒刺 肺燥喉痒 血虚生风肛门瘙痒 胃肠实热便秘 血虚肠煉肛裂 胃阴不足呃逆 大肠热结便难 阳虚津不上承舌干 肺热熏灼舌萎 署湿籩结肩背痈肿 胃火燔龈牙痛 胃阴不足呕吐 脾虚湿因疲乏
肛门肿胀	气滞血瘀肛门肿胀 湿热里结肛门肿胀
腹露青筋	气滞湿阻腹露青筋 肝肾阴虚腹露青筋 肝脾血疲腹露靑筋 脾肾阳虚腹露青筋
月经过多	脾气虚弱月经过多 湿热下注月经过多 瘀血阻滞月经过多 肝肾阴虚月经过多 脾不统血发癍 冲任虚寒月经过多 肝火偏亢月经过多 阴虚火旺汗血
囟门不合	肾虚费弱囟门不合 脾虚失调囟门不合
经行吐衄	阴虚肺燥经行吐衄 肝郁化火经行吐衄 脾不统血经行吐衄 胃火血热经行吐衄
口酸	睥虚肝乘口酸 食积胃肠口酸 肝火犯胃吐血 肝郁化火口酸
黄汗	营卫壅闭黄汗 湿热蕴积黄汗
恶露不下	血疲恶露不下 气滞恶露不下 气血两虚恶露不下 寒凝恶露不下
恶心	肝胆湿热胁痛 风热化火丹毒 风热痰盛口颊澳烂 饮食不进大便脓血 湿热发黄 脾胃虚弱积滞 伤食呕吐 胃肠湿热大便胺血 脾肾阳虚经行泄泻 热毒籩结腹部硬满 寒湿中阻腹满 毒热炽盛脱屑 风热上扰颜面红肿 湿困脾胃口淡 痰湿上逆头目胀痛 痰浊阻肺气喘 阴虚肝旺妊娠痉厥 胃热痰浊上逆舌腐 肝胃不和嘈杂 胃热恶心 食滞胃肠嗳气 疲热扰心不寐 风热牙疳 肝胆湿热尿血 风痰经行抽搐 痰湿咳嗽 胃阴虚恶心 胃阴不足呕吐 一、湿热初侵，邪犯肺胃 湿热壅滞舌苔黄 食积胃痛 饮热互结腹部硬满 痰湿阻络目偏视 外邪干胃呕吐 肝胃不和恶心 伤食恶心 蝈虫扰动梗阻肠道症 胃热妊娠呕吐 胃寒恶心 痰湿白带 误食中毒舌不知味 痰饮壅盛憋气 脾虚痰湿妊娠眩晕 气随血脱异位妊娠 食滞脾胃低热 脾虚肝旺妊娠疫厥 湿热郁蒸心中懊侬 胃肠湿热蕴毒便血 脾虚湿蕴鼾眠 湿热蕴蒸头重 风痰郁结痰核流注 风痰闭神痫 痰滞妊娠呕吐 脾胃湿热脐漏 痰气痞 风痰入络手颤 痰湿阻滞闭经 升降失常腹部硬满 肝胆湿热小便黄赤 毒入血分皮肤红线 痰湿内阻头晕 寒湿阻滞腹筋挛急 痰浊阻滞梦游 伤食嘈杂 肝胃不和呕吐 伤食产后发热 热毒壅盛妇人腹痛 阴虚阳浮消渴 脾胃不调鑕虫扰动症 血虚产后眩晕 气血损伤烧虫扰动症
鼻臭	脾虚湿热鼻臭 胎毒内遼体臭 肝胆湿热鼻臭
夜间多尿	脾肾阳虚便秘 脾肾两虚夜间多尿 肾阳虚惫夜间多尿
产后多汗	气虚产后多汗 阴虚产后多汗
大便艰难	痰气互结噎膈 湿热雄结便难 脾肾阳虚便难 大肠热结便难 肺气虚便难 肝脾气滞便难 阴虚血亏便难
头胀	肝胆火炽曈神缩小 湿著肌表身重 风热外袭头胀 风湿客表恶寒发热 阴虚肝旺妊娠痉厥 肾火偏亢脐内出血 肝郁阴虚经前乳胀 外感寒湿舌苔白腻 心肝火旺经前不寐 火郁五心烦热 湿阻气滞头胀 肺经郁热鼻塞 肝火上炎头胀 湿著肌表身痛 暑湿咳嗽 气郁五色带 肝热产后乳汁自漏 寒湿束表无汗 暑湿袭表恶寒发热 肝肾虚热阴茎溃烂 肝火犯肺鼻衄
阴痒	肝经湿热阴冷 肝肾阴虚阴痒 湿热下注阴痒
恶寒	风寒束表咳嗽 外感风热白睛红赤 湿热熏蒸头汗 外感风寒发热 毒热炽盛肌肤疼痛 邪热费肺胸闷 暑湿流注鼠蹊肿痛 肺寒咳痰 寒饮内停恶寒 外感风寒舌肿 邪伏募原恶寒 暑湿袭表恶寒发热 亡阳液脱四坡拘急 风邪犯表产后发热 湿热下注臁疮 寒凝阳虚舌青 风邪闭阻四肢抽搐 少阴寒化恶寒 风寒束表舌苔白 外感风寒经行发热 风邪袭络顔面抽描 热入血室经来骤止 风寒束表啮齿 寒疲阻肺哮鸣 寒湿侵袭背痛 肺燥喉痒 风热牙龈肿痛 肝郁血热腋窝红肿 风寒袭络牙齿痠弱 火毒凝结肩背痈肿 表寒里热无汗 寒礙肝脉畏寒 外感风热漏睛 外感疟部寒热往来 外邪客宵呕吐 战汗寒战 风寒欲解鼻衄 邪毒炽盛产后发疫 湿热郁蒸但热不寒 湿热化火丹毒 外邪干胃呕吐 湿热蕴蒸颈后生痈 肾阳虚咳嗽 风寒束表项强 邪热壅肺但热不寒 胃热炽盛舌苔黄 凉燥袭肺恶寒 邪郁少阳恶寒 寒湿阻络角弓反张 风热犯肺恶寒发热 风湿犯表项强 火毒盖结臀部痈肿 血褒乳房红肿 实热费积胚周痈肿 热入营血但热不寒 风寒妊娠头痛 风中经络半身不遂 风邪犯表足热 湿热蘊结肛裂 拖接初期恶寒 风寒湿凝滞下肢生疽 风湿客表恶寒发热 湿阻膝原舌苔白腻 阳明经证面色红 阳明蓄血善食易饥 阳明经壮热 肺脾积热胞睑肿胀 毒热织盛发疱 毒热蕴滞丹毒 肾阳虚弱遗尿 风热外袭面色红 外感风温发热 寒湿阻滞腹筋挛急 膀胱湿热尿频 风寒产后发痉 风寒袭表恶寒发热 外感风寒经行身痛 热毒壅盛妇人腹痛 暑热伤气但热不寒 风寒袭肺白睛溢血 痰饮内伏背冷 脾虚湿因疲乏 风寒妊娠音哑 外感咳血 风寒表实无汗 寒热痞 寒滞肠道面色白 外感寒湿舌苔白腻 阳明热织角弓反张 外寒内热寒战 风寒束表恶寒 湿著肌表身痛 时行疫毒咽喉白腐 胃肠湿热大便胺血 太阳伤寒头冷 寒湿袭表舌苔白 热毒壅盛鼠蹊肿痛 风寒表证口噤 寒邪外束寒战 风热唇肿 血虚口唇淡白 湿著肌表身重 风寒声音嘶哑 热结肠道但热不寒 风寒鼻塞 风寒束表面色白 风湿犯表颈项痛 太阳伤寒腰脊痛 火毒炽盛皮肤红线 风邪犯肺咳痰 风寒妊振腹痛 外感风热经行发热 脾肾阳虚紫斑 风热相搏眼睑丹毒 风寒目痒 脏嘛火毒指头疔肿 风寒腹泻 太阳伤寒欲解战汗 寒邪束表面色青 真热假寒恶寒 外感风热针眼 審热逋结白庀 表寒里热气喘 阳虚筋惕肉哺 风寒束肺胸闷 余毒上攻口颊攒烂 风寒束表背冷 疫留气分欲解战汗 风寒产后身痛 风寒鼻流涕 火毒凝滞腋窝红肿 热毒炽盛痄腮 乳积乳房红肿 风寒闭肺气喘 肺气不足胎弱 虚寒吐泻 心阳虚阴盛心烦 寒热错杂哮鸣 风寒妊娠咳嗽 风寒袭肺耳胀闷 疮毒内陷寒战 风寒束表身痛 金疮风毒项强 热炽阳明但热不寒 麻毒时邪由里出表〔初热期〉 表寒郁热烦躁 风热挟疾颈项痛 走马牙疳 风寒外侵无名肿毒 湿热壅滞带状疱疹 风寒喉痒 风寒袭肺喷嚏 疟疾寒战 湿热毒费猫眼疮 风邪入侵四肤强直 金创风毒角弓反张
妊娠咳嗽	燥热妊娠咳嗽 风热妊娠咳嗽 脾虚痰湿妊娠咳嗽 风寒妊娠咳嗽 肺肾气虚妊娠咳嗽 阴虚妊娠咳嗽
鼻痛	风寒湿邪壅滞鼻痛 风热壅肺鼻痛 肺胃热盛鼻痛
掌跖发疱	脾虚湿盛发疱 湿热蕴结发疱 毒热织盛发疱 湿毒浸淫发疱
鼻痠	肺虚感寒鼻痠 风热壅肺鼻痠 痰火阻肺鼻痠 肺脾气虚鼻疫
初生儿大便不通	胎襄不足大便不通 胎热壅结大便不通
小儿蛲虫症	脾胃虚弱蛲虫扰动症 气血损伤烧虫扰动症
漏睛	热邪稍留漏睛 外感风热漏睛 心火炽盛漏睛 气血两虚漏睛
胞内生肉	风热壅盛胞内生肉 阴虚火炎胞内生肉
