身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
小儿水痘	外感风热水痘 毒热炽盛水痘
初生不啼	青紫窒息不啼 苍白窒息不啼
痄腮	风热上犯痄腮 邪毒引皋窜腹 邪毒内陷心肝 热毒炽盛痄腮
舌裂	阳明实热舌裂 阴虚津亏舌裂
干呕	胃阴虚胃痈 脾胃虚弱经行呕吐 肝郁干呕 湿热蕴蒸口渴 风邪袭表恶风 脾胃阴虚手足汗出 食滞干呕 客气上逆痞 胃阴虚舌剥 风痰入络手颤 胃热干呕 痰湿中阻扬鸣 胃阴干涸舌光 胃寒干呕 胃阴不足呕吐
半身麻木	风疲入络流涎 痰火化风喉中痰鸣 风寒袭络半身麻木 肝风内动半身麻木 湿疲阻络半身麻木 脾胃气虚半身麻木 营虚半身麻木
呃逆	肝气犯胃食欲不振 胃阴虚胃痈 胃火呃逆 胃阴不足呃逆 肝火犯胃吐血 疾气互结反胃 胃寒气逆呃逆 脾肾阳虚呃逆
经行腹痛	气血两虚经行旗痛 冲任虚寒经行腹痛 肝郁气滞经行腹痛 寒湿凝滞经行政痈 湿热菹结经行睃痛 肝肾阴虚经行腹痛
胎弱	肺气不足胎弱 肾气不足胎弱 脾气不足胎弱 肝气不足胎弱 心气不足胎弱
腋窝红肿	肝郁血热腋窝红肿 火毒凝滞腋窝红肿
臀部痈肿	邪热结聚臀部痈肿 火毒盖结臀部痈肿
脱形	气血两虚脱形 精血亏虚脱形 脾气虚脱形
小便不利	水饮凌心小儿心悸 脾阳不振小便不利 湿热熏蒸头汗 寒湿发黄 肾阳虚衰小便不利 风湿外袭恶风 表寒郁热烦躁 水停下焦脐下悸动 肺气失宣小便不利 酒毒内茧舌紫 湿热内阻小便不利 阳气郁阻手足厥冷 脾肾不足煤形红斑 水气凌心心下悸 气滞湿阻小便不利 寒湿困脾口腻 营卫壅闭黄汗 脾胃虚寒异嗜
善太息	气虚善太息 肝郁气滞善怒 肝郁化火妊娠心烦 肝郁气滞脏躁 肝郁气滞须发早白 肝气郁结梦游 肝郁气滞憋气 肝郁气滞胁痛 气郁血虚痴呆 肝经郁热不寐 肝郁妊娠心腹胀满 痰气郁结妄听妄视 肝郁气滞腹筋挛急 气滞肌表四肢肿胀 肝郁气结言语错乱 褒气郁结独语 胆虚气怯不寐 肝郁善太息 气滞妊娠小便不通
小儿手足心热	血虚阴亏手足心热 疳积脾虚手足心热
牙龈出血	肾阴虚火旺齿衄 脾不统血齿衄 胃火燔龈齿衄 胃热阴虚齿衄
臂痛	风寒湿阻臂痛 瘀血阻滞臂痛 痰湿流注臂痛 气血两虚臂痛
面色青	热动肝风面色青 肺寒咳痰 寒滞扬道面色青 心血瘀阻面色靑 热毒蕴肠异嗜 寒邪束表面色青 胎毒发寒 胃寒妊娠呕吐 心肾阳衰面色青 心气不足胎弱 气滞血瘀单腹胀大 寒湿凝滞妇人腹痛
颈间生疮	肝胃积热颈间生疮 肺胃火热颈间生疮 肝郁血瘀颈间生疮 肝郁疲凝颈间生疮
经期延长	脾气虚弱月经过多 月经过少 阴虚血热经期延长 湿热蓬结经期延长 气滞血嵌经期延长 阴虚血热带环后阴道异常出血 气虚经期延长 肝郁血热带环后阴道异常出血 肝火偏亢月经过多 脾肾阳虚经期延长
目羞明	风热羞明 气虚风热爱明 气阴两虚羞明 风寒羞明
咽中异物感	肺热阴虚咽中异物感 痰凝气滞咽中异物感 肝气上逆咽中异物感
小儿尿频	肺气虚尿频 肝胆湿热尿频 肾阴虚尿频 睐胱湿热尿频 脾肾两虚尿频
眼胞瘀痛	后期眼胞瘀痛 早期眼胞疲痛
舌胖	脾气虚弱月经过多 脾虚湿滞经行浮肿 脾气虚少气 冲任虚寒腹冷 痰湿经行头痛 肝郁脾虚经前乳胀 气虛低热 脾虚夹湿睑弦赤烂 脾虚舌胖 肾虚水泛舌胖 脾虚湿滞胞睑肿胀 肾阳虚崩潘 气血两虚经行发热 痰浊阻滞梦游 脾气虚弱经行泄泻 脾胃菹湿口唇湿烂 脾气虚弱经断复行 脾肾亏虚步态不稳 脾不统血经行吐衄 脾肾阳虚经断前后诸症
天疱疮	心火脾湿夭疱疮 湿热熏蒸夭疱疮 气阴两虚天疱疮 毒热炽盛天疱疮 脾虚湿盛天疱疮
腰如绳束	带脉不利腰如绳束 肝经湿热腰如翔束
经前乳胀	肝郁气滞经前乳胀 肝郁化火经前乳胀 肝郁脾虚经前乳胀 肝郁肾虚经前乳胀 脾肾阳虚经行泄泻 肝郁血热带环后阴道异常出血 肝郁阴虚经前乳胀 肝脾气滞便难
腹筋挛急	肝郁气滞腹筋挛急 寒湿阻滞腹筋挛急 血不荣润腹筋挛急
小儿流涎	脾宵积热流铤 脾胃虚寒流瘅
便血	湿热便血 邪入血分发热 实热便血 脾不摄血紫斑 热入营血面色红 虚寒便血 气滞血瘀发癍 气血两虚便血 脾不统血红斑 虚热便血 血热动血汗血 热毒攻心神昏 瘟毒发黄 脾不统血舌衄 脾胃虚寒胃痛 湿热风毒紫癜 肝火犯胃宵痛 热入营血烦躁
畏寒	风热上犯痄腮 肾精亏虚下肢生疽:多发于儿童及靑年 肝肾虚腰膝无力 睐胱湿热尿频 肾阳虚脱肛 肾阳虚证口咸 脾肾阳虚腹露青筋 脾胃虚寒胃痛 风寒犯头头痛 脾肾两虚尿频 脾肾拓虚毛发脱落 风热上扰颜面红肿 腑肾阳虚食欲不振 沉寒痼冷精液清冷 肾阳虚衰嗜睡 脾肾阳虚脐腹痛 脾胃阳虚腹冷 阳虚寒盛寒战 胃寒妊娠呕吐 心阳虚畏寒 气阴两虚羞明 寒礙肝脉畏寒 阳气不足头汗 肾虚鼻流涕 脾肾阳虚单腹胀大 肾阳虚喷嚏 脾肾阳虚吐血 寒湿阻络骨痛 营卫不和自汗 脾胃虚寒食欲不振 寒邪客肺畏寒 阴寒内盛小便清长 肾阳虚寒咽喉白腐 脾胃气虚瘦废 肾阳虚妊娠小便不通 脾肾阳虚胎水肿满 气虚恶露不断 气血两虚乳汁不行 寒滞肝脉阴痛 脾阳虚畏寒 肾阳虚腰重 睥肾两虚尿道溢脓 肾阳虚畏寒 肾阳虚衰腰冷 脾虚寒湿舌淡白 气虚胎动不安 脾肾阳虚便秘 寒湿困脾畏寒 湿阻气滞胎死不下 寒湿束表无汗 肾阳衰微大便溏 脾胃不调鑕虫扰动症 阳虚水泛气喘 阳气欲脱绝汗 肾阳不足遗尿 寒滞经脉濡手指挛急 肾气不足耳聋
